110410;Friedrichsfelde Nord;1248;7;5;137;21;42;571;41;132;82;21;6;1;149;28;24;280
110411;Friedrichsfelde Süd;1853;13;9;185;41;68;867;68;179;114;51;13;6;191;47;14;437
110512;Rummelsburger Bucht;423;1;1;27;7;8;294;9;34;83;20;8;6;22;8;6;88
110513;Karlshorst;1666;10;7;120;27;56;963;41;152;297;81;7;5;151;27;23;350
119900;Bezirk (Lb), nicht zuzuordnen;914;12;11;51;13;20;405;32;106;62;1;5;2;77;10;3;136
120000;Reinickendorf;30390;311;162;2851;703;1173;13841;404;2274;1297;959;177;65;2747;594;971;6930
121031;Ost 1 - Reginhardstr.;3308;40;17;391;100;158;1348;42;278;149;95;31;17;330;30;96;1062
121032;Ost 2 - Alt-Reinickendorf;3530;45;25;295;65;140;1568;44;293;147;88;15;6;303;58;160;804
122141;West 1 - Tegel-Süd/Flughafensee;2545;9;2;257;65;92;1006;29;224;63;38;7;3;163;14;232;521
122144;West 4 - Auguste-Viktoria-Allee;3586;30;15;320;85;136;1610;36;262;93;51;19;9;306;75;79;784
122145;West 5 - Tegel/Tegeler Forst;2210;25;14;207;45;61;1090;9;56;109;31;3;1;183;31;29;471
122242;West 2 - Heiligensee/Konradshöhe;993;7;3;87;16;48;436;37;55;65;79;7;3;131;28;36;211
122311;Nord 1 - Frohnau/Hermsdorf;1845;17;8;108;28;44;1028;37;176;252;276;15;4;199;35;56;282
123012;Nord 2 - Waidmannslust/Wittenau/Lübars;3688;42;21;370;92;139;1699;47;213;144;152;22;7;304;75;93;813
123021;MV 1 - Märkisches Viertel;4117;59;37;485;133;185;1771;56;342;109;69;43;13;389;72;105;1181
123022;MV 2 - Rollbergsiedlung;1172;13;7;83;24;52;421;14;69;17;35;7;1;245;151;31;231
123043;West 3 - Borsigwalde/Freie Scholle;1430;10;3;132;21;69;671;36;98;72;44;7;1;129;14;33;340
129900;Bezirk (Rd), nicht zuzuordnen;1966;14;10;116;29;49;1193;17;208;77;1;1;0;65;11;21;230
999900;Stadtgebiet Berlin, nicht zuzuordnen;65470;110;53;1508;432;795;19688;44;347;282;20;13;7;2298;1486;473;2720
999999;Berlin (PKS gesamt);568860;5156;3015;42847;10456;14352;270880;7349;34862;34418;11507;2542;1039;44066;10501;14880;102793
